ID,DATE1,Fire Year,Location,Landscape,Soil,Rainfall (mm),SEASON,REPLICATE,FREQUENCY,PLOT_NO,FMCDRYW ,FUEL LOAD (kg/ha) ,AIRTEMP,RH (%),WIND (m/s),PLOTROS,MEDIAN FUELLOAD (kg/m2),Heat Yeild,PLOTFI MEDIAN FL,% OF PLOT BURNT,TYPE OF BURN,SUCCESS OF FIRE
780,8/6/86,1986,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Aug,NAPI,1,3,23.00,1828,29.6,11.7,2.8,0.40,0.1828,16890,1230,80,clean,successful
943,8/6/86,1986,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Aug,SKUKUZA,2,4,20.00,3129,28.9,17.7,2.6,0.70,0.3129,16890,3694,100,clean,highly
473,8/7/86,1986,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Aug,NWASWITSHAKA,1,7,15.00,2329,25.5,37.6,1.8,0.63,0.2329,16890,2487,100,clean,highly
526,8/7/86,1986,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Aug,NWASWITSHAKA,2,1,25.00,3742,26.2,33.4,2.1,0.75,0.3742,16890,4752,100,clean,highly
618,8/7/86,1986,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Aug,MBIYAMITI,2,5,39.00,2960,18.9,62.3,1.5,0.18,0.2960,16890,920,70,patchy,moderately
656,8/7/86,1986,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Aug,MBIYAMITI,1,7,20.00,1667,20.3,53.1,1.5,0.18,0.1667,16890,507,60,moderate,unsuccessful
2603,8/8/86,1986,Pretoriuskop,Lowveld sour bushveld,Granite,737,Aug,SHABENI,1,3,29.00,3910,25.3,29.1,1.7,0.46,0.3910,16890,3058,100,clean,highly
2635,8/8/86,1986,Pretoriuskop,Lowveld sour bushveld,Granite,737,Aug,SHABENI,2,1,39.00,4339,26.0,28.3,2.2,0.55,0.4339,16890,4010,100,clean,highly
2801,8/8/86,1986,Pretoriuskop,Lowveld sour bushveld,Granite,737,Aug,KAMBENI,1,7,38.00,4810,21.5,29.3,1.6,0.64,0.4810,16890,5189,100,clean,highly
2817,8/8/86,1986,Pretoriuskop,Lowveld sour bushveld,Granite,737,Aug,KAMBENI,2,5,30.00,6858,23.1,28.9,1.6,0.42,0.6858,16890,4862,100,clean,highly
2993,8/8/86,1986,Pretoriuskop,Lowveld sour bushveld,Granite,737,Aug,FAYI,1,7,52.00,3252,22.6,31.9,1.4,0.51,0.3252,16890,2823,100,clean,highly
3017,8/8/86,1986,Pretoriuskop,Lowveld sour bushveld,Granite,737,Aug,FAYI,2,1,44.00,4810,18.1,50.1,0.7,0.34,0.4810,16890,2764,100,clean,highly
2428,8/11/86,1986,Pretoriuskop,Lowveld sour bushveld,Granite,737,Aug,NUMBI,1,6,28.00,4711,26.1,18.1,1.1,0.46,0.4711,16890,3691,100,clean,highly
2454,8/11/86,1986,Pretoriuskop,Lowveld sour bushveld,Granite,737,Aug,NUMBI,2,4,24.00,6354,30.1,4.7,4.2,0.25,0.6354,16890,2696,100,clean,highly
2081,8/25/86,1986,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Aug,MARHEYA,2,1,13.00,3252,36.2,11.1,2.7,0.61,0.3252,16890,3376,100,clean,highly
2261,8/25/86,1986,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Aug,SATARA,2,1,4.50,3129,32.4,23.4,3.5,0.22,0.3129,16890,1152,70,moderate,successful
1723,8/26/86,1986,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Aug,NWANETSI,2,5,7.20,3333,24.0,48.0,1.8,0.91,0.3333,16890,5096,100,clean,successful
1895,8/26/86,1986,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Aug,LINDANDA,2,4,12.00,2743,31.2,38.9,4.0,0.97,0.2743,16890,4495,100,clean,highly
2528,10/20/86,1986,Pretoriuskop,Lowveld sour bushveld,Granite,737,Oct,NUMBI,2,1,14.00,3836,31.0,45.7,2.0,0.48,0.3836,16890,3122,100,clean,highly
